id,start_from_week_seconds,duration
423018,573809,1135
423017,573787,1120
423016,573761,1146
423014,573669,1215
423012,573653,1244
423011,573643,1250
423010,573622,3944
423009,573619,1265
423008,573574,1287
423007,573548,1272
423006,573522,1371
423005,573519,1334
423004,573511,1366
423003,573505,1332
423002,573486,1319
423001,573480,1340
423000,573455,1382
422999,573454,1351
422998,573412,17
422997,573406,11
422996,573405,17
422995,573398,15
422994,573368,41
422993,573367,29
422992,573358,30
422991,573344,47
422990,573333,42
422989,573332,56
422988,573296,4267
422987,573263,94
422986,573193,173
422985,573111,255
422984,573105,229
422983,573069,265
422982,573042,284
422981,573023,303
422980,572953,366
422979,572938,4607
422978,572874,445
422977,572830,478
422976,572827,463
422975,572812,492
422974,572777,519
422973,572772,518
422971,572754,550
422970,572750,4808
422968,572702,594
422967,572554,722
422966,572541,299
422965,572482,794
422964,572298,957
422963,572281,974
422962,572272,950
422961,572266,903
422960,572246,919
422959,572227,995
422958,572176,2614
422957,572162,988
422956,572134,1008
422955,572104,1038
422954,572094,2671
422953,572076,1052
422952,572035,874
422951,572027,2733
422950,572020,1078
422949,571988,1079
422948,571979,1077
422947,571964,1186
422946,571959,1139
422945,571946,1125
422944,571941,1126
422943,571933,1123
422942,571910,1128
422941,571891,1147
422940,571887,1128
422939,571868,2874
422938,571840,1185
422937,571832,1077
422936,571823,1079
422935,571817,1203
422934,571810,1205
422933,571788,1114
422932,571776,1082
422931,571773,1109
422930,571747,1149
422929,571725,1133
422928,571709,1187
422927,571690,10
422926,571673,15
422925,571649,46
422924,571649,35
422922,571627,28
422921,571621,47
422920,571605,79
422919,571601,3147
422918,571577,72
422917,571499,139
422915,571478,77
422914,571477,139
422913,571457,181
422912,571393,270
422911,571391,185
422910,571361,215
422909,571341,257
422908,571326,228
422907,571271,261
422906,571256,259
422905,571239,280
422904,571229,281
422903,571220,295
422902,571215,292
422901,571180,327
422900,571156,325
422899,571155,3630
422898,571100,346
422896,571069,429
422895,571068,396
422894,571064,412
422893,571053,385
422892,571051,395
422891,571030,434
422890,571019,375
422889,570926,512
422888,570838,544
422887,570747,604
422885,570721,630
422884,570713,642
422883,570710,4228
422882,570696,610
422880,570641,698
422879,570617,431
422878,570617,693
422877,570596,743
422876,570576,504
422875,570519,767
422874,570501,805
422873,570464,822
422872,570454,823
422871,570409,857
422870,570396,870
422869,570368,932
422868,570352,2514
422867,570275,933
422866,570257,951
422865,570165,1026
422864,570158,1033
422863,570110,1069
422862,570052,1130
422861,570051,2749
422860,570003,923
422859,569994,1116
422858,569990,2872
422856,569945,1205
422855,569932,1178
422854,569905,1232
422853,569882,2966
422851,569822,1328
422850,569772,1329
422849,569728,1373
422848,569727,1367
422847,569725,3115
422846,569690,1157
422845,569655,1439
422844,569583,1501
422843,569536,1142
422842,569522,1325
422841,569507,1078
422840,569494,1184
422839,569374,1296
422838,569356,1300
422837,569355,1327
422836,569333,1337
422835,569310,3534
422834,569287,1313
422833,569284,1372
422832,569279,1328
422831,569271,1344
422830,569260,1340
422829,569233,1352
422828,569220,1387
422827,569200,1415
422826,569152,1388
422825,569146,1428
422824,569121,1453
422823,569002,1493
422822,568964,3870
422821,568955,1552
422820,568953,1542
422819,568875,1643
422818,568864,1643
422817,568850,1637
422816,568831,2249
422815,568810,1667
422814,568761,2306
422813,568760,1704
422812,568749,1708
422811,568745,2327
422810,568708,1742
422809,568652,1798
422808,568583,1853
422807,568475,1961
422806,568448,2012
422805,568390,2037
422804,568304,2120
422803,568302,2746
422802,568294,2115
422801,568267,2787
422800,568234,2165
422799,568232,2192
422798,568224,2729
422797,568077,2300
422796,567996,2389
422795,567977,2372
422794,567950,2969
422793,567947,2350
422792,567926,2451
422791,567857,2474
422790,567808,2535
422789,567795,2536
422788,567791,2506
422787,567770,2577
422786,567728,39
422785,567727,47
422784,567721,46
422783,567685,3241
422782,567648,59
422781,567644,48
422780,567643,55
422779,567634,3297
422778,567630,89
422777,567619,59
422776,567599,3320
422775,567597,95
422774,567565,58
422773,567556,87
422772,567547,160
422771,567543,107
422770,567525,3335
422769,567496,173
422768,567494,169
422767,567491,152
422766,567489,122
422765,567479,3463
422764,567474,176
422763,567471,160
422762,567465,146
422761,567464,163
422760,567458,165
422759,567431,19
422758,567417,33
422757,567415,22
422756,567392,39
422755,567383,20
422754,567371,27
422753,567336,50
422752,567310,3542
422751,567302,92
422750,567297,78
422749,567250,113
422748,567237,3619
422747,567117,242
